# Renewables.ninja Weather (Point API) - -33.459, 136.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Australia/Adelaide, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Australia/Adelaide", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-33.4595", "lon": "136.5966", "date_from": "2013-01-01", "date_to": "2013-12-31", "dataset": "merra2", "var_t2m": false, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,radiation_surface
2013-01-01 00:00,2013-01-01 10:30,936.172
2013-01-01 01:00,2013-01-01 11:30,1057.519
2013-01-01 02:00,2013-01-01 12:30,1117.419
2013-01-01 03:00,2013-01-01 13:30,1110.654
2013-01-01 04:00,2013-01-01 14:30,1037.571
2013-01-01 05:00,2013-01-01 15:30,904.575
2013-01-01 06:00,2013-01-01 16:30,722.314
2013-01-01 07:00,2013-01-01 17:30,505.830
2013-01-01 08:00,2013-01-01 18:30,276.208
2013-01-01 09:00,2013-01-01 19:30,69.678
2013-01-01 10:00,2013-01-01 20:30,0.002
2013-01-01 11:00,2013-01-01 21:30,0
2013-01-01 12:00,2013-01-01 22:30,0
2013-01-01 13:00,2013-01-01 23:30,0
2013-01-01 14:00,2013-01-02 00:30,0
2013-01-01 15:00,2013-01-02 01:30,0
2013-01-01 16:00,2013-01-02 02:30,0
2013-01-01 17:00,2013-01-02 03:30,0
2013-01-01 18:00,2013-01-02 04:30,0
2013-01-01 19:00,2013-01-02 05:30,1.539
2013-01-01 20:00,2013-01-02 06:30,110.462
2013-01-01 21:00,2013-01-02 07:30,330.083
2013-01-01 22:00,2013-01-02 08:30,560.654
2013-01-01 23:00,2013-01-02 09:30,772.426
2013-01-02 00:00,2013-01-02 10:30,946.219
2013-01-02 01:00,2013-01-02 11:30,1067.854
2013-01-02 02:00,2013-01-02 12:30,1128.067
2013-01-02 03:00,2013-01-02 13:30,1119.966
2013-01-02 04:00,2013-01-02 14:30,1046.262
2013-01-02 05:00,2013-01-02 15:30,911.969
2013-01-02 06:00,2013-01-02 16:30,728.692
2013-01-02 07:00,2013-01-02 17:30,510.670
2013-01-02 08:00,2013-01-02 18:30,279.124
2013-01-02 09:00,2013-01-02 19:30,70.359
2013-01-02 10:00,2013-01-02 20:30,0.001
2013-01-02 11:00,2013-01-02 21:30,0
2013-01-02 12:00,2013-01-02 22:30,0
2013-01-02 13:00,2013-01-02 23:30,0
2013-01-02 14:00,2013-01-03 00:30,0
2013-01-02 15:00,2013-01-03 01:30,0
2013-01-02 16:00,2013-01-03 02:30,0
2013-01-02 17:00,2013-01-03 03:30,0
2013-01-02 18:00,2013-01-03 04:30,0
2013-01-02 19:00,2013-01-03 05:30,1.503
2013-01-02 20:00,2013-01-03 06:30,111.471
2013-01-02 21:00,2013-01-03 07:30,333.141
2013-01-02 22:00,2013-01-03 08:30,565.853
2013-01-02 23:00,2013-01-03 09:30,779.320
2013-01-03 00:00,2013-01-03 10:30,950.942
2013-01-03 01:00,2013-01-03 11:30,1074.367
2013-01-03 02:00,2013-01-03 12:30,1135.185
2013-01-03 03:00,2013-01-03 13:30,1128.571
2013-01-03 04:00,2013-01-03 14:30,1054.645
2013-01-03 05:00,2013-01-03 15:30,919.575
2013-01-03 06:00,2013-01-03 16:30,735.943
2013-01-03 07:00,2013-01-03 17:30,515.572
2013-01-03 08:00,2013-01-03 18:30,281.045
2013-01-03 09:00,2013-01-03 19:30,69.814
2013-01-03 10:00,2013-01-03 20:30,0.001
2013-01-03 11:00,2013-01-03 21:30,0
2013-01-03 12:00,2013-01-03 22:30,0
2013-01-03 13:00,2013-01-03 23:30,0
2013-01-03 14:00,2013-01-04 00:30,0
2013-01-03 15:00,2013-01-04 01:30,0
2013-01-03 16:00,2013-01-04 02:30,0
2013-01-03 17:00,2013-01-04 03:30,0
2013-01-03 18:00,2013-01-04 04:30,0
2013-01-03 19:00,2013-01-04 05:30,1.362
2013-01-03 20:00,2013-01-04 06:30,108.749
2013-01-03 21:00,2013-01-04 07:30,328.711
2013-01-03 22:00,2013-01-04 08:30,559.833
2013-01-03 23:00,2013-01-04 09:30,771.896
2013-01-04 00:00,2013-01-04 10:30,948.928
2013-01-04 01:00,2013-01-04 11:30,1068.770
2013-01-04 02:00,2013-01-04 12:30,1127.015
2013-01-04 03:00,2013-01-04 13:30,1115.420
2013-01-04 04:00,2013-01-04 14:30,1038.524
2013-01-04 05:00,2013-01-04 15:30,898.306
2013-01-04 06:00,2013-01-04 16:30,725.191
2013-01-04 07:00,2013-01-04 17:30,503.642
2013-01-04 08:00,2013-01-04 18:30,268.777
2013-01-04 09:00,2013-01-04 19:30,64.061
2013-01-04 10:00,2013-01-04 20:30,0
2013-01-04 11:00,2013-01-04 21:30,0
2013-01-04 12:00,2013-01-04 22:30,0
2013-01-04 13:00,2013-01-04 23:30,0
2013-01-04 14:00,2013-01-05 00:30,0
2013-01-04 15:00,2013-01-05 01:30,0
2013-01-04 16:00,2013-01-05 02:30,0
2013-01-04 17:00,2013-01-05 03:30,0
2013-01-04 18:00,2013-01-05 04:30,0
2013-01-04 19:00,2013-01-05 05:30,1.066
2013-01-04 20:00,2013-01-05 06:30,87.703
2013-01-04 21:00,2013-01-05 07:30,293.816
2013-01-04 22:00,2013-01-05 08:30,519.273
2013-01-04 23:00,2013-01-05 09:30,734.783
2013-01-05 00:00,2013-01-05 10:30,911.042
2013-01-05 01:00,2013-01-05 11:30,1030.547
2013-01-05 02:00,2013-01-05 12:30,1090.972
2013-01-05 03:00,2013-01-05 13:30,1084.128
2013-01-05 04:00,2013-01-05 14:30,1011.788
2013-01-05 05:00,2013-01-05 15:30,879.636
2013-01-05 06:00,2013-01-05 16:30,698.860
2013-01-05 07:00,2013-01-05 17:30,484.174
2013-01-05 08:00,2013-01-05 18:30,258.107
2013-01-05 09:00,2013-01-05 19:30,61.360
2013-01-05 10:00,2013-01-05 20:30,0
2013-01-05 11:00,2013-01-05 21:30,0
2013-01-05 12:00,2013-01-05 22:30,0
2013-01-05 13:00,2013-01-05 23:30,0
2013-01-05 14:00,2013-01-06 00:30,0
2013-01-05 15:00,2013-01-06 01:30,0
2013-01-05 16:00,2013-01-06 02:30,0
2013-01-05 17:00,2013-01-06 03:30,0
2013-01-05 18:00,2013-01-06 04:30,0
2013-01-05 19:00,2013-01-06 05:30,1.033
2013-01-05 20:00,2013-01-06 06:30,98.277
2013-01-05 21:00,2013-01-06 07:30,308.461
2013-01-05 22:00,2013-01-06 08:30,533.419
2013-01-05 23:00,2013-01-06 09:30,742.102
2013-01-06 00:00,2013-01-06 10:30,907.645
2013-01-06 01:00,2013-01-06 11:30,1029.132
2013-01-06 02:00,2013-01-06 12:30,1090.098
2013-01-06 03:00,2013-01-06 13:30,1085.341
2013-01-06 04:00,2013-01-06 14:30,1014.815
2013-01-06 05:00,2013-01-06 15:30,884.478
2013-01-06 06:00,2013-01-06 16:30,709.141
2013-01-06 07:00,2013-01-06 17:30,495.269
2013-01-06 08:00,2013-01-06 18:30,267.686
2013-01-06 09:00,2013-01-06 19:30,64.217
2013-01-06 10:00,2013-01-06 20:30,0
2013-01-06 11:00,2013-01-06 21:30,0
2013-01-06 12:00,2013-01-06 22:30,0
2013-01-06 13:00,2013-01-06 23:30,0
2013-01-06 14:00,2013-01-07 00:30,0
2013-01-06 15:00,2013-01-07 01:30,0
2013-01-06 16:00,2013-01-07 02:30,0
2013-01-06 17:00,2013-01-07 03:30,0
2013-01-06 18:00,2013-01-07 04:30,0
2013-01-06 19:00,2013-01-07 05:30,0.979
2013-01-06 20:00,2013-01-07 06:30,99.720
2013-01-06 21:00,2013-01-07 07:30,314.528
2013-01-06 22:00,2013-01-07 08:30,544.097
2013-01-06 23:00,2013-01-07 09:30,755.448
2013-01-07 00:00,2013-01-07 10:30,928.273
2013-01-07 01:00,2013-01-07 11:30,1050.323
2013-01-07 02:00,2013-01-07 12:30,1111.079
2013-01-07 03:00,2013-01-07 13:30,1104.896
2013-01-07 04:00,2013-01-07 14:30,1030.255
2013-01-07 05:00,2013-01-07 15:30,894.112
2013-01-07 06:00,2013-01-07 16:30,711.155
2013-01-07 07:00,2013-01-07 17:30,494.485
2013-01-07 08:00,2013-01-07 18:30,267.024
2013-01-07 09:00,2013-01-07 19:30,64.381
2013-01-07 10:00,2013-01-07 20:30,0
2013-01-07 11:00,2013-01-07 21:30,0
2013-01-07 12:00,2013-01-07 22:30,0
2013-01-07 13:00,2013-01-07 23:30,0
2013-01-07 14:00,2013-01-08 00:30,0
2013-01-07 15:00,2013-01-08 01:30,0
