PVSYST 7.2.14,,,,,
,File,File date,Description,,
Project,Mangalo_Project.PRJ,15/10/22 09h48,Mangalo,,
Geographical Site,Heggaton_Nasa_1983.SIT,15/10/22 09h48,Heggaton,Australia,Australia
Meteo data,Heggaton__SYN.MET,11/10/22 10h53,Heggaton,MERRA-2,Synthetic
Simulation variant,Mangalo_Project.VC1,07/12/22 20h22,New simulation variant_1,,
Simulation date,,07/12/22 20h25,,,
,,,,,
Simulation:,Hourly values, from 01/01/90, to 31/12/90 ,,
,,,,,
date,E_Grid,GlobHor,T_Amb,,
    ,kW,W/m²,°C,,
,,,,,
1/1/1990 0:00,-0.094,0,32.59,,
1/1/1990 1:00,-0.094,0,33.17,,
1/1/1990 2:00,-0.094,0,32.85,,
1/1/1990 3:00,-0.094,0,32.7,,
1/1/1990 4:00,-0.094,0,32.62,,
1/1/1990 5:00,-0.094,5.7063,32.77,,
1/1/1990 6:00,1499,150.49,34.45,,
1/1/1990 7:00,223.29,78.1,34.5,,
1/1/1990 8:00,211.15,67.993,34.45,,
1/1/1990 9:00,994.95,230.6,35.19,,
1/1/1990 10:00,337.18,78.493,35.04,,
1/1/1990 11:00,1846.8,362.9,35.98,,
1/1/1990 12:00,3694.4,757.6,37.82,,
1/1/1990 13:00,2255.9,449.4,38.44,,
1/1/1990 14:00,3499.9,666.6,39.46,,
1/1/1990 15:00,3288,576,40.09,,
1/1/1990 16:00,1723.4,325.49,39.78,,
1/1/1990 17:00,851.73,188.7,39.22,,
1/1/1990 18:00,639.67,95.201,38.93,,
1/1/1990 19:00,3.8213,8.3001,38.29,,
1/1/1990 20:00,-0.094,0,36.86,,
1/1/1990 21:00,-0.094,0,35.38,,
1/1/1990 22:00,-0.094,0,33.89,,
1/1/1990 23:00,-0.094,0,32.38,,
2/1/1990 0:00,-0.094,0,30.8,,
2/1/1990 1:00,-0.094,0,29.06,,
2/1/1990 2:00,-0.094,0,28.11,,
2/1/1990 3:00,-0.094,0,27.16,,
2/1/1990 4:00,-0.094,0,26.47,,
2/1/1990 5:00,-0.094,6.2072,26.43,,
2/1/1990 6:00,3039.5,220.1,28.45,,
2/1/1990 7:00,4877.1,458.9,30.65,,
2/1/1990 8:00,5131,690.2,32.85,,
2/1/1990 9:00,5140.9,879.1,34.88,,
2/1/1990 10:00,5170,1067.1,36.82,,
2/1/1990 11:00,3654.6,729.69,37.17,,
2/1/1990 12:00,3675.7,755.2,37.46,,
2/1/1990 13:00,3235.1,643.99,37.39,,
