,,Region:,Eyre Peninsula,
,,Zone Sub Name:,Ceduna 66/11kV,
,,Associated Connection Point,Wudinna 132/66kV,
Date,Time,MW,MVar,MVA
1/7/2019,0:00,3.9769,0.0711,3.978
1/7/2019,0:30,3.9769,0.0711,3.978
1/7/2019,1:00,3.8551,0.1391,3.858
1/7/2019,1:30,3.8551,0.1391,3.858
1/7/2019,2:00,2.9259,0.1391,2.929
1/7/2019,2:30,2.9259,-0.0962,2.927
1/7/2019,3:00,2.9259,-0.0962,2.927
1/7/2019,3:30,2.9259,-0.0962,2.927
1/7/2019,4:00,2.4534,-0.0962,2.455
1/7/2019,4:30,2.4534,-0.0962,2.455
1/7/2019,5:00,2.4534,-0.0962,2.455
1/7/2019,5:30,2.4534,-0.0962,2.455
1/7/2019,6:00,2.4534,-0.0962,2.455
1/7/2019,6:30,2.9254,-0.0962,2.927
1/7/2019,7:00,2.9254,0.1396,2.929
1/7/2019,7:30,3.3914,0.1396,3.394
1/7/2019,8:00,3.9491,0.3274,3.963
1/7/2019,8:30,3.9491,0.3274,3.963
1/7/2019,9:00,3.9491,0.4906,3.979
1/7/2019,9:30,3.9491,0.7223,4.015
1/7/2019,10:00,3.4714,0.7223,3.546
1/7/2019,10:30,3.2319,0.7223,3.312
1/7/2019,11:00,2.5142,0.4674,2.557
1/7/2019,11:30,2.0399,0.4674,2.093
1/7/2019,12:00,2.2915,0.2744,2.308
1/7/2019,12:30,2.5594,0.2744,2.574
1/7/2019,13:00,2.1138,0.2223,2.125
1/7/2019,13:30,2.5803,0.2223,2.59
1/7/2019,14:00,2.112,0.2223,2.124
1/7/2019,14:30,2.5752,0.2223,2.585
1/7/2019,15:00,2.5752,0.2223,2.585
1/7/2019,15:30,2.544,0.2163,2.553
1/7/2019,16:00,2.544,0.2163,2.553
1/7/2019,16:30,3.0258,0.2163,3.034
1/7/2019,17:00,3.0258,0.2163,3.034
1/7/2019,17:30,3.9528,0.3316,3.967
1/7/2019,18:00,4.416,0.4493,4.439
1/7/2019,18:30,4.416,0.4493,4.439
1/7/2019,19:00,4.8974,0.4493,4.918
1/7/2019,19:30,4.8974,0.4493,4.918
1/7/2019,20:00,4.8974,0.4493,4.918
1/7/2019,20:30,4.8974,0.4493,4.918
1/7/2019,21:00,4.4147,0.4493,4.438
1/7/2019,21:30,4.4147,0.4493,4.438
1/7/2019,22:00,4.4147,0.4493,4.438
1/7/2019,22:30,3.93,0.1995,3.935
1/7/2019,23:00,3.93,0.1995,3.935
1/7/2019,23:30,4.417,0.1995,4.422
2/7/2019,0:00,4.417,0.5129,4.447
2/7/2019,0:30,4.417,0.2781,4.426
2/7/2019,1:00,4.0169,0.2368,4.024
2/7/2019,1:30,4.0169,0.2368,4.024
2/7/2019,2:00,3.5356,-0.006,3.536
2/7/2019,2:30,3.5356,-0.006,3.536
2/7/2019,3:00,3.5356,-0.006,3.536
2/7/2019,3:30,3.0733,-0.006,3.073
2/7/2019,4:00,3.0733,-0.006,3.073
2/7/2019,4:30,3.0733,-0.006,3.073
2/7/2019,5:00,3.0733,-0.006,3.073
2/7/2019,5:30,3.0733,-0.006,3.073
2/7/2019,6:00,3.0733,-0.006,3.073
2/7/2019,6:30,3.3175,0.2269,3.325
2/7/2019,7:00,3.5677,0.2269,3.575
2/7/2019,7:30,4.0542,0.2269,4.061
2/7/2019,8:00,4.5509,0.5065,4.579
2/7/2019,8:30,4.5509,0.5065,4.579
2/7/2019,9:00,4.0774,0.5065,4.109
2/7/2019,9:30,4.0774,0.5065,4.109
2/7/2019,10:00,3.6063,0.5065,3.642
2/7/2019,10:30,3.1124,0.5037,3.153
2/7/2019,11:00,3.1124,0.5037,3.153
2/7/2019,11:30,2.1645,0.259,2.18
2/7/2019,12:00,2.1645,0.259,2.18
2/7/2019,12:30,2.185,0.259,2.2
2/7/2019,13:00,2.013,0.2833,2.033
2/7/2019,13:30,1.5254,0.2833,1.551
2/7/2019,14:00,1.5254,0.2833,1.551
2/7/2019,14:30,1.9929,0.2833,2.013
2/7/2019,15:00,1.9929,0.1684,2
2/7/2019,15:30,1.9929,0.1684,2
2/7/2019,16:00,1.9929,0.1684,2
2/7/2019,16:30,2.4766,0.1684,2.482
2/7/2019,17:00,3.4584,0.2884,3.47
2/7/2019,17:30,3.6923,0.2884,3.704
2/7/2019,18:00,4.4146,0.5246,4.446
2/7/2019,18:30,4.4146,0.5246,4.446
2/7/2019,19:00,4.8853,0.5246,4.913
2/7/2019,19:30,4.8853,0.5246,4.913
2/7/2019,20:00,4.8853,0.5246,4.913
2/7/2019,20:30,4.4128,0.2711,4.421
2/7/2019,21:00,4.4128,0.2711,4.421
2/7/2019,21:30,3.903,0.2711,3.912
2/7/2019,22:00,3.903,0.2711,3.912
2/7/2019,22:30,3.903,0.2711,3.912
2/7/2019,23:00,3.903,0.2711,3.912
2/7/2019,23:30,4.3942,0.2711,4.403
3/7/2019,0:00,4.3942,0.2711,4.403
3/7/2019,0:30,3.9119,0.1591,3.915
3/7/2019,1:00,3.7956,0.1539,3.799
3/7/2019,1:30,3.3059,0.1539,3.309
3/7/2019,2:00,3.3059,-0.0948,3.307
3/7/2019,2:30,3.3059,-0.0948,3.307
3/7/2019,3:00,2.8347,-0.0948,2.836
3/7/2019,3:30,2.8347,-0.0948,2.836
3/7/2019,4:00,2.8347,-0.0948,2.836
3/7/2019,4:30,2.8347,-0.0948,2.836
3/7/2019,5:00,2.8347,-0.0948,2.836
3/7/2019,5:30,2.8347,-0.0948,2.836
3/7/2019,6:00,2.8347,-0.0948,2.836
3/7/2019,6:30,3.3184,-0.0948,3.32
3/7/2019,7:00,3.3184,-0.0948,3.32
3/7/2019,7:30,3.8109,0.1577,3.814
3/7/2019,8:00,4.2826,0.3674,4.298
3/7/2019,8:30,4.2826,0.3674,4.298
3/7/2019,9:00,3.7858,0.6121,3.835
3/7/2019,9:30,3.7858,0.6121,3.835
3/7/2019,10:00,3.3073,0.6121,3.363
3/7/2019,10:30,2.8282,0.6121,2.894
3/7/2019,11:00,2.3603,0.3711,2.389
3/7/2019,11:30,1.8785,0.3711,1.915
3/7/2019,12:00,1.8785,0.1219,1.882
3/7/2019,12:30,1.8785,0.1219,1.882
3/7/2019,13:00,1.5967,0.1256,1.602
3/7/2019,13:30,1.5967,0.1256,1.602
3/7/2019,14:00,1.5967,0.1256,1.602
3/7/2019,14:30,1.5967,0.1256,1.602
3/7/2019,15:00,1.5967,0.1256,1.602
3/7/2019,15:30,1.5967,0.1256,1.602
3/7/2019,16:00,1.5967,0.1256,1.602
3/7/2019,16:30,2.0678,0.1256,2.072
3/7/2019,17:00,2.5301,0.1261,2.533
3/7/2019,17:30,3.5435,0.1261,3.546
3/7/2019,18:00,4.0342,0.3986,4.054
3/7/2019,18:30,4.0342,0.3986,4.054
3/7/2019,19:00,4.0342,0.3986,4.054
3/7/2019,19:30,4.0342,0.3986,4.054
3/7/2019,20:00,4.0342,0.3986,4.054
3/7/2019,20:30,4.0342,0.3986,4.054
3/7/2019,21:00,4.0342,0.3986,4.054
3/7/2019,21:30,4.0342,0.2744,4.044
3/7/2019,22:00,3.7984,0.1591,3.802
3/7/2019,22:30,3.5561,0.1591,3.56
3/7/2019,23:00,3.5561,0.1591,3.56
3/7/2019,23:30,4.0435,0.1591,4.047
4/7/2019,0:00,4.0435,0.1596,4.047
4/7/2019,0:30,4.0435,0.1596,4.047
4/7/2019,1:00,3.7389,0.1413,3.742
4/7/2019,1:30,3.2686,0.1413,3.272
4/7/2019,2:00,3.2686,-0.0925,3.27
4/7/2019,2:30,2.792,-0.0925,2.794
4/7/2019,3:00,2.792,-0.0925,2.794
4/7/2019,3:30,2.792,-0.0925,2.794
4/7/2019,4:00,2.792,-0.0925,2.794
4/7/2019,4:30,2.792,-0.0925,2.794
4/7/2019,5:00,2.792,-0.0925,2.794
4/7/2019,5:30,2.792,-0.0925,2.794
4/7/2019,6:00,2.792,-0.0925,2.794
4/7/2019,6:30,2.792,-0.0925,2.794
4/7/2019,7:00,3.2678,0.1698,3.272
4/7/2019,7:30,3.7444,0.1698,3.748
4/7/2019,8:00,4.2267,0.4037,4.246
4/7/2019,8:30,4.2267,0.4037,4.246
4/7/2019,9:00,3.9872,0.4037,4.008
4/7/2019,9:30,3.7393,0.6567,3.797
4/7/2019,10:00,3.5031,0.6567,3.564
4/7/2019,10:30,2.7566,0.6567,2.834
4/7/2019,11:00,2.2781,0.4209,2.317
4/7/2019,11:30,1.7803,0.1582,1.787
4/7/2019,12:00,1.7803,0.1582,1.787
4/7/2019,12:30,1.7803,0.1582,1.787
4/7/2019,13:00,1.6645,0.2311,1.68
4/7/2019,13:30,1.6645,0.2311,1.68
4/7/2019,14:00,1.6645,0.2311,1.68
4/7/2019,14:30,1.6645,0.2311,1.68
4/7/2019,15:00,1.6645,0.2311,1.68
4/7/2019,15:30,1.6645,0.2311,1.68
4/7/2019,16:00,1.6645,-0.0102,1.665
4/7/2019,16:30,2.1394,-0.0102,2.139
4/7/2019,17:00,2.6017,0.2544,2.614
4/7/2019,17:30,3.1021,0.2544,3.113
4/7/2019,18:00,3.5984,0.2544,3.607
4/7/2019,18:30,4.0825,0.3721,4.099
4/7/2019,19:00,4.0825,0.3721,4.099
4/7/2019,19:30,4.0825,0.3721,4.099
4/7/2019,20:00,4.0825,0.2572,4.091
4/7/2019,20:30,4.0825,0.2572,4.091
4/7/2019,21:00,4.0825,0.2572,4.091
4/7/2019,21:30,4.0825,0.2572,4.091
4/7/2019,22:00,3.6123,0.1423,3.615
4/7/2019,22:30,3.6123,0.1423,3.615
4/7/2019,23:00,3.6123,0.1423,3.615
4/7/2019,23:30,4.1383,0.1423,4.141
5/7/2019,0:00,4.1383,0.1814,4.142
5/7/2019,0:30,4.1383,0.1814,4.142
5/7/2019,1:00,3.8347,0.1921,3.84
5/7/2019,1:30,3.3695,-0.0568,3.37
5/7/2019,2:00,3.3695,-0.0568,3.37
5/7/2019,2:30,2.9068,-0.0568,2.907
5/7/2019,3:00,2.9068,-0.0568,2.907
5/7/2019,3:30,2.9068,-0.0568,2.907
5/7/2019,4:00,2.9068,-0.0568,2.907
5/7/2019,4:30,2.9068,-0.0568,2.907
5/7/2019,5:00,2.9068,-0.0568,2.907
5/7/2019,5:30,2.9068,-0.0568,2.907
5/7/2019,6:00,2.9068,-0.0568,2.907
5/7/2019,6:30,2.9068,-0.0568,2.907
5/7/2019,7:00,3.3891,-0.0568,3.39
5/7/2019,7:30,3.8514,0.1944,3.856
5/7/2019,8:00,4.323,0.2963,4.333
5/7/2019,8:30,4.323,0.2963,4.333
5/7/2019,9:00,3.8625,0.5386,3.9
5/7/2019,9:30,3.3854,0.5386,3.428
5/7/2019,10:00,3.3854,0.5386,3.428
5/7/2019,10:30,2.8952,0.5386,2.945
5/7/2019,11:00,1.9116,0.2888,1.933
5/7/2019,11:30,1.9116,0.2888,1.933
5/7/2019,12:00,1.9116,0.1702,1.919
