# Renewables.ninja Weather (Point API) - -33.459, 136.597 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Australia/Adelaide, temperature in ºC, radiation_surface in W/m²
# {"units": {"time": "UTC", "local_time": "Australia/Adelaide", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2"}, "params": {"local_time": true, "header": true, "lat": "-33.4595", "lon": "136.5966", "date_from": "2002-01-01", "date_to": "2002-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": false}}
time,local_time,temperature,radiation_surface
2002-01-01 00:00,2002-01-01 10:30,17.522,432.833
2002-01-01 01:00,2002-01-01 11:30,18.600,556.268
2002-01-01 02:00,2002-01-01 12:30,19.664,647.155
2002-01-01 03:00,2002-01-01 13:30,20.518,721.320
2002-01-01 04:00,2002-01-01 14:30,20.930,714.607
2002-01-01 05:00,2002-01-01 15:30,20.755,628.822
2002-01-01 06:00,2002-01-01 16:30,20.443,563.369
2002-01-01 07:00,2002-01-01 17:30,19.612,390.886
2002-01-01 08:00,2002-01-01 18:30,18.197,195.053
2002-01-01 09:00,2002-01-01 19:30,16.634,35.731
2002-01-01 10:00,2002-01-01 20:30,15.550,0
2002-01-01 11:00,2002-01-01 21:30,14.963,0
2002-01-01 12:00,2002-01-01 22:30,14.498,0
2002-01-01 13:00,2002-01-01 23:30,14.169,0
2002-01-01 14:00,2002-01-02 00:30,13.671,0
2002-01-01 15:00,2002-01-02 01:30,13.114,0
2002-01-01 16:00,2002-01-02 02:30,12.860,0
2002-01-01 17:00,2002-01-02 03:30,12.794,0
2002-01-01 18:00,2002-01-02 04:30,12.681,0
2002-01-01 19:00,2002-01-02 05:30,12.435,0.712
2002-01-01 20:00,2002-01-02 06:30,12.611,59.385
2002-01-01 21:00,2002-01-02 07:30,13.504,203.895
2002-01-01 22:00,2002-01-02 08:30,14.661,387.951
2002-01-01 23:00,2002-01-02 09:30,15.767,533.268
2002-01-02 00:00,2002-01-02 10:30,17.272,766.801
2002-01-02 01:00,2002-01-02 11:30,18.544,863.344
2002-01-02 02:00,2002-01-02 12:30,19.910,1000.327
2002-01-02 03:00,2002-01-02 13:30,20.556,920.852
2002-01-02 04:00,2002-01-02 14:30,21.012,926.470
2002-01-02 05:00,2002-01-02 15:30,21.121,894.427
2002-01-02 06:00,2002-01-02 16:30,20.687,728.385
2002-01-02 07:00,2002-01-02 17:30,19.796,512.488
2002-01-02 08:00,2002-01-02 18:30,18.427,280.343
2002-01-02 09:00,2002-01-02 19:30,16.571,70.738
2002-01-02 10:00,2002-01-02 20:30,14.712,0.001
2002-01-02 11:00,2002-01-02 21:30,13.817,0
2002-01-02 12:00,2002-01-02 22:30,13.098,0
2002-01-02 13:00,2002-01-02 23:30,12.814,0
2002-01-02 14:00,2002-01-03 00:30,12.680,0
2002-01-02 15:00,2002-01-03 01:30,12.506,0
